Screen_Name,Tweet_Text,Follower_Count
b'braincloud77',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",794
b'HeathHixson',"b""If suggested college sports COVID protocols were applied to my kids' schools, would this mean that if a teacher, ja\xe2\x80\xa6 https://t.co/VU42ZSueUZ""",43
b'SurojSuklabaid1',"b'RT @himantabiswa: \xf0\x9f\x93\x8cAlert ~ 735 new #COVID ve+ cases in Assam, 400 in Guwahati alone.\n\nAwareness \xe2\x9e\xa1 Precautions \xe2\x9e\xa1 Care \xe2\x9e\xa1 Compassion ~ Key aga\xe2\x80\xa6'",1
b'TheStephP',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead at 27\nAlexandra Nicole Faerber died suddenly from #COVID. She worked as a nurse in Atlanta, #Georgia on the frontlin\xe2\x80\xa6'",227
b'Sajaat_Hussain',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",151
b'dstep65',"b'RT @FaceTheNation: #COVID AND SCHOOLS:\n\n""Kids are less susceptible to the infection and less likely to transmit it, less susceptible doesn\'\xe2\x80\xa6'",598
b'Akshaysm92',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',37
b'anicho47',b'RT @DFAaction: 78% of Americans support voting by mail to limit spread of #COVID. #VoteByMail (Latest polling from @YaleClimateComm: https:\xe2\x80\xa6',80
b'falsealto',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",299
b'Viki_kohli',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',801
b'AaronBolyard',b'RT @Cleavon_MD: \xf0\x9f\xa7\xb5This thread is dedicated to the countless Essential Workers in America that died from #COVID due to lack of #PPE. The UNSU\xe2\x80\xa6',43
b'JakeBeacker',"b'RT @peterbuschTV: 15,300 new #COVID-19 cases in Florida. That is the most ever reported in a single day by any state...by nearly 4,000.'",272
b'PodishettiPava1',b'RT @Paul_Oommen: #Telangana government is providing free Home Isolation Kits for #COVID-19 patients who are in home isolation. These kits c\xe2\x80\xa6',0
b'AngelaUhl2',b'RT @Cleavon_MD: \xf0\x9f\xa7\xb5This is a thread of precious innocent children who have died from #COVID. \n\n@COVKIDProject\nSee https://t.co/1bDU1wC6Sn for\xe2\x80\xa6',14
b'truespeakharsh',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',432
b'kristarchy',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",680
b'prashbio',b'My IoB talk on #Systems Understanding of #Covid-19 International Webinar IOB day 1 https://t.co/3FWlunK6XC via @YouTube',755
b'hermionekayp',"b""I don't know what's worse...\n\nThe hope that I MIGHT have a wedding in January..\n\nOr just knowing now and trying to\xe2\x80\xa6 https://t.co/7xkmTmbiUe""",22
b'Searching4Facts',"b'RT @libertytarian: Have you noticed that any state that starts #ReOpen\nbecomes critical focus of media spinning dire statistics,\nputting re\xe2\x80\xa6'",281
b'JoeCurtatone',b'RT @_EmilyNorton: Compelling piece by \xe2\x81\xa6@JoeCurtatone\xe2\x81\xa9 on Baker #covid reopening plan.\n\n\xe2\x80\x9cWe\xe2\x80\x99re acting like this disease has gone and left us\xe2\x80\xa6',14780
b'AncyAniyan',b'RT @nagma_morarji: In view of #Covid UGC shud cancel students Exams nt risk lives of students by saying merit is imp in a #Pandemic student\xe2\x80\xa6',503
b'Brian91186',"b'RT @peterbuschTV: 15,300 new #COVID-19 cases in Florida. That is the most ever reported in a single day by any state...by nearly 4,000.'",2010
b'MimiTexasAngel',b'California choice in #November it\xe2\x80\x99s \n#CHANGE #ForThePeople 2 #Democrats \n#ShahidForChange \nvs \n#JustSayNo to\xe2\x80\xa6 https://t.co/0YFDR4SlfV',4073
b'brfara',b'RT @iPouya: The US:\n\n-withdrew from the nuclear deal\n-unilaterally sanctions #Iran\n-assassinated Iran\xe2\x80\x99s top general\n-tightened the sanction\xe2\x80\xa6',301
b'Bipolitibear',b'@WhiteHouse @realDonaldTrump @realDonaldTrump #woeisme\nPer NYTimes\n7/1 128097\n7/2 128655\n7/3 128825\n7/4 129408\n7/5\xe2\x80\xa6 https://t.co/Qmt44W444i',11
b'AngelaUhl2',"b'RT @Cleavon_MD: 15,300 new cases of #COVID today in #Florida, yet Disney World reopens. \xf0\x9f\x98\xa8  https://t.co/V772QoXMTF'",14
b'Shubham28183',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',425
b'IrshadM64509059',b'RT @nagma_morarji: In view of #Covid UGC shud cancel students Exams nt risk lives of students by saying merit is imp in a #Pandemic student\xe2\x80\xa6',65
b'TakeIImedia',b'RT @iPouya: The US:\n\n-withdrew from the nuclear deal\n-unilaterally sanctions #Iran\n-assassinated Iran\xe2\x80\x99s top general\n-tightened the sanction\xe2\x80\xa6',185
b'Pixelvore1',b'RT @VincentRK: The Midwest is taking off. Be careful everyone. See individual states below. \n\nWe were never a big hotspot. We could get hit\xe2\x80\xa6',0
b'bensonmaria',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",39
b'KathyBrownKathy',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',48285
b'Aprbutterfly',b'RT @grassrootsyaya: @sazzygram3 @yeldarb_reed My daughter is the RN night Mgr of 2 #COVID units outside of Chicago. She referred to as bein\xe2\x80\xa6',7687
b'carolradq',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead grocery store worker, 59\nVitalina Williams escaped poverty and worked two jobs as a cashier at @MarketBasket &amp; @Walm\xe2\x80\xa6'",910
b'SandySkipper1',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",1224
b'khan33580',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",148
b'81martin63',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',1309
b'MinkzMayank6444',"b'RT @PunjabGovtIndia: Amid the spiralling #Covid cases, the #PunjabGovernment is all set to impose some more stringent curbs in the state, i\xe2\x80\xa6'",75
b'irma_stone',"b""RT @GeoRebekah: If any current #COVID patients want to speak out, the folks at @NewDay are looking for voices avoid Florida's surging cases\xe2\x80\xa6""",4291
b'TheStephP',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead at 34\nSimon Zamudio was born in Phoenix, #Arizona. In the Army, he climb the ranks to sergeant &amp; was a new dad. He w\xe2\x80\xa6'",227
b'thoughtcriminal',"b'RT @LawrenceGostin: I\'m often asked, ""how long will #COVID last?"" Until now I didn\'t have a clue, but I think it\'s getting obvious. Pandemi\xe2\x80\xa6'",307
b'DrLee4America',b'#MSM Media Silence on #COVID-19 Positive Clinical Studies on #HYDROXYCHLOROQUINE  is a Matter of Life and Death \n\nhttps://t.co/UWMdXpxknz',80400
b'feliciamesser',"b""RT @MontyBoa99: @JennaEllisEsq Here's a timeline of the biggest lies, false promises and hoaxes by POUTS since the beginning of his #COVID\xe2\x80\xa6""",1449
b'CharterVanilla',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",94
b'OfficersBank',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',252
b'tentdwellers',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",246
b'idesibanda',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',15368
b'EngtiEh',"b'RT @himantabiswa: \xf0\x9f\x93\x8cAlert ~ 735 new #COVID ve+ cases in Assam, 400 in Guwahati alone.\n\nAwareness \xe2\x9e\xa1 Precautions \xe2\x9e\xa1 Care \xe2\x9e\xa1 Compassion ~ Key aga\xe2\x80\xa6'",0
b'jorge_edward',b'RT @TXsharon: \xe2\x80\x9cIt may be the case that many of the U.S. frackers now heading for #bankruptcy were insolvent before #Covid-19 if environment\xe2\x80\xa6',2260
b'abhishek_voices',b'RT @nagma_morarji: In view of #Covid UGC shud cancel students Exams nt risk lives of students by saying merit is imp in a #Pandemic student\xe2\x80\xa6',752
b'skinnybootie',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",846
b'lala_in_ga',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",26
b'simanta_yogi',"b'RT @himantabiswa: \xf0\x9f\x93\x8cAlert ~ 735 new #COVID ve+ cases in Assam, 400 in Guwahati alone.\n\nAwareness \xe2\x9e\xa1 Precautions \xe2\x9e\xa1 Care \xe2\x9e\xa1 Compassion ~ Key aga\xe2\x80\xa6'",98
b'KarstenR5',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",40
b'Chand41455068',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',50
b'ASPActivity',b'Have you seen our first #COVID-19 video with @DrBenBeck from @MonashUni https://t.co/RIXkNDfThw \n\nTo continue havin\xe2\x80\xa6 https://t.co/Wyf6anSBCp',535
b'NuncCoepi3',b'RT @EinsteinIP2015: @QBlueSkyQ @grabaroot Extremely important... #COVID-19. \n\nListen to this proof this pandemic was PLANNED by #Rockefelle\xe2\x80\xa6',3944
b'rweitzel0913',b'RT @SafaMote: Many prominent scientists &amp; communicators have been tirelessly informing the public about #COVID over the past 6 months: @DrE\xe2\x80\xa6',717
b'Jay93303818',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',834
b'Sameeks71516140',b'RT @FinancialXpress: World\xe2\x80\x99s first #COVID-19 vaccine! Russia\xe2\x80\x99s Sechenov University completes clinical trials of #CoronavirusVaccine https:/\xe2\x80\xa6',5
b'Imprashant812',"b'RT @iabhishekpawan: #COVID  1/2\nThere are some #covid patient near my area. One person even died almost a week ago, and no one knows what w\xe2\x80\xa6'",47
b'ashrafneshanha',"b""RT @4FreedominIran: 6\xe2\x83\xa39\xe2\x83\xa38\xe2\x83\xa30\xe2\x83\xa30\xe2\x83\xa3 That's the least #COVID deaths in Iran @WHO @DrTedros as of #12July \nMore detailed reports on #coronavirus c\xe2\x80\xa6""",246
b'jorgito_pf',b'RT @jamesvgingerich: #AI 50 Founders Predict What #ArtificialIntelligence Will Look Like After #Covid-19. (Forbes)  https://t.co/kGo4xz6fcD\xe2\x80\xa6',35
b'Imprashant812',"b'RT @iabhishekpawan: 2/2\nThe people who are positive, runs a grocery store nearby. So, I request to the concerned authorities to take an imm\xe2\x80\xa6'",47
b'Bipolitibear',b'@realDonaldTrump @realDonaldTrump #woeisme\nPer NYTimes\n7/1 128097\n7/2 128655\n7/3 128825\n7/4 129408\n7/5 129908\n7/6 1\xe2\x80\xa6 https://t.co/TPv51WWMh2',11
b'rachele39193616',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",22
b'nagma_morarji',b'In view of #Covid UGC shud cancel students Exams nt risk lives of students by saying merit is imp in a #Pandemic st\xe2\x80\xa6 https://t.co/6jrV0kcOYH',103275
b'SarahHa19136270',"b""RT @sazzygram3: My nurse friend with 30 yrs of experience is considering quitting. \nI really don't blame her. She says they're already bein\xe2\x80\xa6""",85
b'DrVidSiva',b'How does this woman keep getting on tv and not feel embarrassed? Ashamed? Putting lives at risk \n\n#covid\xe2\x80\xa6 https://t.co/9UxLN6HZPl',985
b'KrisChandler5',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',2228
b'DruStevenson',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",752
b'butt739',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",284
b'ShubhamBhave6',"b'RT @sandeeppatel58: Availed people of my constituency with #COVID prevention items like Vitamin C, Hand Gloves, Mask and Sanitisers with fu\xe2\x80\xa6'",160
b'DanaDuaneCraft1',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",233
b'CitizenSe7en',b'RT @mobycat6969: Very interesting read for those on the fence post about Covid and immunity .. #COVID https://t.co/NKspHj0qaD',5822
b'marissarose444',"b'RT @B52Malmet: Who agrees that mandatory stay-at-home orders are necessary to stop the spread of #covid in Arizona, Florida, Louisiana, Sou\xe2\x80\xa6'",215
b'JaniceBuckler',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',297
b'thecierraparker',"b'On Coronavirus, Americans Still Trust the Experts #Covid_19 #COVID19 #coronavirus #COVID__19 #COVID\xe3\x83\xbc19 #COVID\xe2\x80\xa6 https://t.co/jJXj85It2a'",223
b'thehawk',"b'With 21 new deaths UK COVID-19 toll rises to 44,819 #deaths #UK #COVID-19 https://t.co/Iq0BRIFIC3'",2070
b'bethhentges',b'RT @Cleavon_MD: \xf0\x9f\xa7\xb5This is a thread of precious innocent children who have died from #COVID. \n\n@COVKIDProject\nSee https://t.co/1bDU1wC6Sn for\xe2\x80\xa6',500
b'Tricia_Braun',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",1206
b'ravish_singla',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',603
b'sandeepmessi7',b'RT @Paul_Oommen: #Telangana government is providing free Home Isolation Kits for #COVID-19 patients who are in home isolation. These kits c\xe2\x80\xa6',75
b'RajuCha19909200',"b'RT @angkitadutta: There used to be a road few days back, today they need a boat to commute. This video is of men collecting firewood to coo\xe2\x80\xa6'",43
b'garcialawfirm',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",3303
b'Tricia_Braun',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',1206
b'MohanPaiyala',"b'RT @MohanPaiyala: While #Politicians #celebrities\n&amp; #RichKids are getting instant access for #COVID, #MiddleClass is being neglected &amp; left\xe2\x80\xa6'",24
b'vitek_donna',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',7
b'3vanSutton',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",6322
b'gschoppe',"b""RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale - Covid ain't no joke \nFreddie Garza died from #COVID in #Texas. Like many young people he thought he was\xe2\x80\xa6""",237
b'LazyBot6',b'RT @jamesvgingerich: #AI 50 Founders Predict What #ArtificialIntelligence Will Look Like After #Covid-19. (Forbes)  https://t.co/kGo4xz6fcD\xe2\x80\xa6',316
b'shibinvj007',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",504
b'DrPunkaj',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',994
b'AzamSomaira',"b'RT @Medscape: Vitamin D\xe2\x80\x99s role in #COVID unclear, but global societies emphasize importance for musculoskeletal health. \nhttps://t.co/rGsDd\xe2\x80\xa6'",498
b'avrilchimedza',"b'RT @rotarymsasa: #COVID-19 cases are reportedly on the increase, it takes each one of us to be responsible to mitigate the spread of the vi\xe2\x80\xa6'",454
b'freehandphl',"b'@amazon @amazon drivers work hard, make less, get #COVID-19 and even die; @amazon boss @JeffBezos makes millions ev\xe2\x80\xa6 https://t.co/lufDthvzRc'",5
b'MrBretoi',b'RT @rweingarten: Trump suppressed CDC report that concluded \xe2\x80\x9cfully opening schools &amp; universities remained the highest risk for the spread\xe2\x80\xa6',135
b'lepler',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",467
b'Uli_ausCalmbach',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',1566
b'GDSdebate',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",1259
b'paintingseldom',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",321
b'JacobAsbury1',b'RT @AlexBerenson: To my mind the hospital data are likely to provide a more accurate first cut - a better look at dying from and not WITH #\xe2\x80\xa6',24
b'scottostler',"b""RT @Cleavon_MD: I'm an Iraq War Vet. It's hard to speak out while on active duty. No soldier with #COVID symptoms should be quarantined in\xe2\x80\xa6""",15280
b'ThoughtsTarun',b'Quote of the Motivation \xf0\x9f\x98\x8a\n. \n. \n#motivationalquotesforstudents\n#covid19india\n#corona_virus\n#lifechangingquotes\xe2\x80\xa6 https://t.co/MkovBXvrlP',24
b'Crabapple_JBA',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",2990
b'imanoleagain',"b""2 #Florida strip clubs shut down 4 violating #COVID social distancing rules \nDon't fret, guys. All other strip club\xe2\x80\xa6 https://t.co/skexZpcBOh""",755
b'Bipolitibear',b'@realDonaldTrump #woeisme\nPer NYTimes\n7/1 128097\n7/2 128655\n7/3 128825\n7/4 129408\n7/5 129908\n7/6 130332\n7/7 131266\xe2\x80\xa6 https://t.co/GXigx0higr',11
b'AnnaDerdBanks',"b""RT @idaveprice: 177 people hospitalized due to #COVID-19 in Iowa. That's up 50% since June 28 (118). Still far below peak. Current hospital\xe2\x80\xa6""",276
b'Eliza328',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",718
b'MonicaRivpin',b'RT @KenBromfield1: #Conspiracy theorist died of #Covid after trying to catch it to prove it was hoax.\n\nTo what extent does #Hoax peddler in\xe2\x80\xa6',5364
b'Yash54350894',"b'RT @rha_india: Hey @thevirdas &amp; @one_by_two, we are a 0 funds volunteer org working towards ending world hunger. During this pandemic, we a\xe2\x80\xa6'",1
b'Yash54350894',"b'RT @rha_india: A big shout out to @ABPNews for supporting us in our #Covid fight against #Hunger, help us take #Mission30M to every corner\xe2\x80\xa6'",1
b'angelicleydy',b'RT @FINALLEVEL: NOW dude puts on a Mask\xe2\x80\xa6 After  all his cult members are in the hospital\xe2\x80\xa6 smh   #Covid',34
b'skepticalpark',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',1092
b'RPutneyDrake',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',3
b'notyetagm',b'RT @InconvenientTr5: @LawrenceGostin \xf0\x9f\x9a\xa8BIGGEST QUESTION of 2020: \n\nWHERE was #Trump in JANUARY-FEBRUARY when #COVID was Hitting #USA ???\n\n\xf0\x9f\xa4\xa1\xe2\x80\xa6',278
b'patelpinal210',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",626
b'WilsonGeJR',b'RT @AlexBerenson: To my mind the hospital data are likely to provide a more accurate first cut - a better look at dying from and not WITH #\xe2\x80\xa6',248
b'jdpaustin',b'RT @kimwehle: \xe2\x9d\xa4\xef\xb8\x8f goes out to TX today. The virus doesn\xe2\x80\x99t care about politics. Want #COVID leadership? Vote in a new #POTUS in November. Ple\xe2\x80\xa6',4028
b'QueenCatia',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",2745
b'jeanne_vitale',"b""RT @sazzygram3: My nurse friend with 30 yrs of experience is considering quitting. \nI really don't blame her. She says they're already bein\xe2\x80\xa6""",293
b'Angelheart29672',"b'RT @dawgfacedpony: Who do you trust more, your God given #immunesystem or the #government?  https://t.co/dzX6LCzxIt #Florida #COVID #VirusH\xe2\x80\xa6'",24169
b'NTribalone',"b""RT @GeoRebekah: If any current #COVID patients want to speak out, the folks at @NewDay are looking for voices avoid Florida's surging cases\xe2\x80\xa6""",3644
b'redz041',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead at 45\nTeddy Bernal, father of 3, owner of Frank &amp; Lupe\xe2\x80\x99s Restaurants in Scottsdale #Arizona died suddenly from #COVI\xe2\x80\xa6'",2305
b'jan_K9massage',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead at 34\nSimon Zamudio was born in Phoenix, #Arizona. In the Army, he climb the ranks to sergeant &amp; was a new dad. He w\xe2\x80\xa6'",129
b'phxlifestyles',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",1110
b'_muralikrishnap',b'RT @suchetadalal: Banks  are commercial organisations... if listed companies have fat insurance cover for directors liability why not  bigg\xe2\x80\xa6',4
